speciesA,speciesB,RI,,,
Quercus branttii,Quercus macrolepis,0,Simeone et al. 2018,genetic,
Quercus ithaburensis,Quercus libani,0,,,
Quercus libani,Quercus trojana,0,,,
Quercus suber,Quercus trojana,0,,,
Quercus sinuata,Quercus virginiana,1,Muller 1952,morphology,
Quercus sinuata,Quercus laceyi,1,,,
Quercus sinuata,Quercus pungens,1,,,
Quercus sinuata,Quercus mohriana,1,,,
Quercus virginana,Quercus laceyi,1,,,
Quercus virginiana,Quercus pungens,1,,,
Quercus virginiana,Quercus mohriana,1,,,
Quercus laceyi,Quercus pungens,1,,,
Quercus laceyi,Quercus mohriana,1,,,
Quercus pungens,Quercus mohriana,1,,,
Quercus emoryi,Quercus gravesii,1,,,
Quercus hypoleucoides,Quercus gravesii,1,,,
Quercus alba,Quercus championii,1,Hardin 1975,morphology,
Quercus alba,Quercus oglethorpensis,1,,,
Quercus alba,Quercus minima,1,,,
Quercus alba,Quercus virginiana,1,,,
Quercus margaretta,Quercus championii,1,,,
Quercus margaretta,Quercus oglethorpensis,1,,,
Quercus margaretta,Quercus durandii,1,,,
Quercus margaretta,Quercus minima,1,,,
Quercus margaretta,Quercus prinoides,1,,,
Quercus margaretta,Quercus muhlenbergii,1,,,
Quercus margaretta,Quercus michauxii,1,,,
Quercus margaretta,Quercus montana,1,,,
Quercus margaretta,Quercus biocolor,1,,,
Quercus margaretta,Quercus macrocarpa,1,,,
Quercus margaretta,Quercus lyrata,1,,,
Quercus stellata,Quercus championii,1,,,
Quercus stellata,Quercus oglethorpensis,1,,,
Quercus stellata,Quercus muhlenbergii,1,,,
Quercus stellata,Quercus michauxii,1,,,
Quercus austrina,Quercus championii,1,,,
Quercus austrina,Quercus oglethorpensis,1,,,
Quercus austrina,Quercus durandii,1,,,
Quercus austrina,Quercus minima,1,,,
Quercus austrina,Quercus prinoides,1,,,
Quercus austrina,Quercus muhlenbergii,1,,,
Quercus austrina,Quercus michauxii,1,,,
Quercus austrina,Quercus montana,1,,,
Quercus austrina,Quercus bicolor,1,,,
Quercus austrina,Quercus macrocarpa,1,,,
Quercus durandii,Quercus championii,1,,,
Quercus durandii,Quercus oglethorpensis,1,,,
Quercus durandii,Quercus minima,1,,,
Quercus durandii,Quercus virginiana,1,,,
Quercus durandii,Quercus prinoides,1,,,
Quercus durandii,Quercus muhlenbergii,1,,,
Quercus durandii,Quercus michauxii,1,,,
Quercus durandii,Quercus montana,1,,,
Quercus durandii,Quercus bicolor,1,,,
Quercus durandii,Quercus macrocarpa,1,,,
Quercus minima,Quercus championii,1,,,
Quercus minima,Quercus oglethorpensis,1,,,
Quercus minima,Quercus prinoides,1,,,
Quercus minima,Quercus muhlenbergii,1,,,
Quercus minima,Quercus michauxii,1,,,
Quercus minima,Quercus montana,1,,,
Quercus minima,Quercus bicolor,1,,,
Quercus minima,Quercus macrocarpa,1,,,
Quercus minima,Quercus lyrata,1,,,
Quercus virginiana,Quercus championii,1,,,
Quercus virginiana,Quercus oglethorpensis,1,,,
Quercus virginiana,Quercus prinoides,1,,,
Quercus virginiana,Quercus muhlenbergii,1,,,
Quercus virginiana,Quercus michauxii,1,,,
Quercus virginiana,Quercus montana,1,,,
Quercus prinoides,Quercus championii,1,,,
Quercus prinoides,Quercus oglethorpensis,1,,,
Quercus prinoides,Quercus michauxii,1,,,
Quercus prinoides,Quercus montana,1,,,
Quercus prinoides,Quercus bicolor,1,,,
Quercus prinoides,Quercus macrocarpa,1,,,
Quercus prinoides,Quercus lyrata,1,,,
Quercus muhlenbergii,Quercus championii,1,,,
Quercus muhlenbergii,Quercus oglethorpensis,1,,,
Quercus muhlenbergii,Quercus michauxii,1,,,
Quercus muhlenbergii,Quercus montana,1,,,
Quercus muhlenbergii,Quercus bicolor,1,,,
Quercus muhlenbergii,Quercus lyrata,1,,,
Quercus michauxii,Quercus championii,1,,,
Quercus michauxii,Quercus oglethorpensis,1,,,
Quercus michauxii,Quercus montana,1,,,
Quercus michauxii,Quercus bicolor,1,,,
Quercus montana,Quercus championii,1,,,
Quercus montana,Quercus oglethorpensis,1,,,
Quercus montana,Quercus macrocarpa,1,,,
Quercus montana,Quercus lyrata,1,,,
Quercus bicolor,Quercus championii,1,,,
Quercus bicolor,Quercus oglethorpensis,1,,,
Quercus macrocarpa,Quercus championii,1,,,
Quercus macrocarpa,Quercus oglethorpensis,1,,,
Quercus lyrata,Quercus championii,1,,,
Quercus lyrata,Quercus oglethorpensis,1,,,
Quercus chenii,Quercus phillyreoides,1,,,
Quercus chenii,Quercus engleriana,1,,,
Quercus chenii,Quercus semecarpifolia,1,,,
Quercus chenii,Quercus championii,1,,,
Quercus chenii,Quercus myrsinifolia,1,,,
Quercus chenii,Quercus pachyloma,1,,,
Quercus chenii,Quercus falcata,1,,,
Quercus chenii,Quercus dentata,1,,,
Quercus chenii,Quercus griffithii,1,,,
Quercus chenii,Quercus aliena,1,,,
Quercus chenii,Quercus fabri,1,,,
Quercus acutissima,Quercus franchetii,1,,,
Quercus acutissima,Quercus phillyreoides,1,,,
Quercus acutissima,Quercus baronii,1,,,
Quercus acutissima,Quercus engleriana,1,,,
Quercus acutissima,Quercus semecarpifolia,1,,,
Quercus acutissima,Quercus pseudosemecarpifolia,1,,,
Quercus acutissima,Quercus monimotricha,1,,,
Quercus acutissima,Quercus gujavifolia,1,,,
Quercus acutissima,Quercus championii,1,,,
Quercus acutissima,Quercus delavayi,1,,,
Quercus acutissima,Quercus schottkyana,1,,,
Quercus acutissima,Quercus oxyodon,1,,,
Quercus acutissima,Quercus myrsinifolia,1,,,
Quercus acutissima,Quercus salicina,1,,,
Quercus acutissima,Quercus acuta,1,,,
