speciesA,speciesB,author,datatype,hybrid,exclude,notes,overlap,records
phellos,nigra,"Burke, C. J. (1961). An evaluation of three hybrid-containing oak populations on the North Carolina Outer Banks. Journal of the Elisha Mitchell Scientific Society 78(l):18-21. OR  Burke, C. J. (1963). The hybrid nature of Quercus laurifolia. Journal of the Elisha Mitchell Scientific Society 79(2):159-163. ",,1,,,,
sinuata,virginiana,Muller 1952,morphology,0,,,,
sinuata,laceyi,Muller 1952,morphology,0,,,,
sinuata,pungens,Muller 1952,morphology,0,,,,
sinuata,mohriana,Muller 1952,morphology,0,,,,
virginiana,laceyi,Muller 1952,morphology,0,,,,
virginiana,pungens,Muller 1952,morphology,0,,,,
virginiana,mohriana,Muller 1952,morphology,0,,,,
laceyi,pungens,Muller 1952,morphology,0,,,,
laceyi,mohriana,Muller 1952,morphology,0,,,,
pungens,mohriana,Muller 1952,morphology,0,,,,
emoryi,gravesii,Muller 1952,morphology,0,,,,
hypoleucoides,gravesii,Muller 1952,morphology,0,,,,
alba,championii,Hardin 1975,morphology,0,,,,
alba,oglethorpensis,Hardin 1975,morphology,0,,,,
alba,minima,Hardin 1975,morphology,0,,,,
alba,virginiana,Hardin 1975,morphology,0,,,,
margarettae,championii,Hardin 1975,morphology,0,,,,
margarettae,oglethorpensis,Hardin 1975,morphology,0,,,,
margarettae,durandii,Hardin 1975,morphology,0,,,,
margarettae,minima,Hardin 1975,morphology,0,,,,
margarettae,prinoides,Hardin 1975,morphology,0,,,,
margarettae,muhlenbergii,Hardin 1975,morphology,0,,,,
margarettae,michauxii,Hardin 1975,morphology,0,,,,
margarettae,montana,Hardin 1975,morphology,0,,,,
margarettae,bicolor,Hardin 1975,morphology,0,,,,
margarettae,macrocarpa,Hardin 1975,morphology,0,,,,
margarettae,lyrata,Hardin 1975,morphology,0,,,,
stellata,championii,Hardin 1975,morphology,0,,,,
stellata,oglethorpensis,Hardin 1975,morphology,0,,,,
stellata,muhlenbergii,Hardin 1975,morphology,0,,,,
stellata,michauxii,Hardin 1975,morphology,0,,,,
austrina,championii,Hardin 1975,morphology,0,,,,
austrina,oglethorpensis,Hardin 1975,morphology,0,,,,
austrina,durandii,Hardin 1975,morphology,0,,,,
austrina,minima,Hardin 1975,morphology,0,,,,
austrina,prinoides,Hardin 1975,morphology,0,,,,
austrina,muhlenbergii,Hardin 1975,morphology,0,,,,
austrina,michauxii,Hardin 1975,morphology,0,,,,
austrina,montana,Hardin 1975,morphology,0,,,,
austrina,bicolor,Hardin 1975,morphology,0,,,,
austrina,macrocarpa,Hardin 1975,morphology,0,,,,
durandii,championii,Hardin 1975,morphology,0,,,,
durandii,oglethorpensis,Hardin 1975,morphology,0,,,,
durandii,minima,Hardin 1975,morphology,0,,,,
durandii,virginiana,Hardin 1975,morphology,0,,,,
durandii,prinoides,Hardin 1975,morphology,0,,,,
durandii,muhlenbergii,Hardin 1975,morphology,0,,,,
durandii,michauxii,Hardin 1975,morphology,0,,,,
durandii,montana,Hardin 1975,morphology,0,,,,
durandii,bicolor,Hardin 1975,morphology,0,,,,
durandii,macrocarpa,Hardin 1975,morphology,0,,,,
minima,championii,Hardin 1975,morphology,0,,,,
minima,oglethorpensis,Hardin 1975,morphology,0,,,,
minima,prinoides,Hardin 1975,morphology,0,,,,
minima,muhlenbergii,Hardin 1975,morphology,0,,,,
minima,michauxii,Hardin 1975,morphology,0,,,,
minima,montana,Hardin 1975,morphology,0,,,,
minima,bicolor,Hardin 1975,morphology,0,,,,
minima,macrocarpa,Hardin 1975,morphology,0,,,,
minima,lyrata,Hardin 1975,morphology,0,,,,
virginiana,championii,Hardin 1975,morphology,0,,,,
virginiana,oglethorpensis,Hardin 1975,morphology,0,,,,
virginiana,prinoides,Hardin 1975,morphology,0,,,,
virginiana,muhlenbergii,Hardin 1975,morphology,0,,,,
virginiana,michauxii,Hardin 1975,morphology,0,,,,
virginiana,montana,Hardin 1975,morphology,0,,,,
prinoides,championii,Hardin 1975,morphology,0,,,,
prinoides,oglethorpensis,Hardin 1975,morphology,0,,,,
prinoides,michauxii,Hardin 1975,morphology,0,,,,
prinoides,montana,Hardin 1975,morphology,0,,,,
prinoides,bicolor,Hardin 1975,morphology,0,,,,
prinoides,macrocarpa,Hardin 1975,morphology,0,,,,
prinoides,lyrata,Hardin 1975,morphology,0,,,,
muhlenbergii,championii,Hardin 1975,morphology,0,,,,
muhlenbergii,oglethorpensis,Hardin 1975,morphology,0,,,,
muhlenbergii,michauxii,Hardin 1975,morphology,0,,,,
muhlenbergii,montana,Hardin 1975,morphology,0,,,,
muhlenbergii,bicolor,Hardin 1975,morphology,0,,,,
muhlenbergii,lyrata,Hardin 1975,morphology,0,,,,
michauxii,championii,Hardin 1975,morphology,0,,,,
michauxii,oglethorpensis,Hardin 1975,morphology,0,,,,
michauxii,montana,Hardin 1975,morphology,0,,,,
michauxii,bicolor,Hardin 1975,morphology,0,,,,
montana,championii,Hardin 1975,morphology,0,,,,
montana,oglethorpensis,Hardin 1975,morphology,0,,,,
montana,macrocarpa,Hardin 1975,morphology,0,,,,
montana,lyrata,Hardin 1975,morphology,0,,,,
bicolor,championii,Hardin 1975,morphology,0,,,,
bicolor,oglethorpensis,Hardin 1975,morphology,0,,,,
macrocarpa,championii,Hardin 1975,morphology,0,,,,
macrocarpa,oglethorpensis,Hardin 1975,morphology,0,,,,
lyrata,championii,Hardin 1975,morphology,0,,,,
lyrata,oglethorpensis,Hardin 1975,morphology,0,,,,
chenii,phillyreoides,sproc,sproc,0,,,,
chenii,engleriana,sproc,sproc,0,,,,
chenii,semecarpifolia,sproc,sproc,0,,,,
chenii,championii,sproc,sproc,0,,,,
chenii,myrsinifolia,sproc,sproc,0,,,,
chenii,pachyloma,sproc,sproc,0,,,,
chenii,falcata,sproc,sproc,0,,,,
chenii,dentata,sproc,sproc,0,,,,
chenii,griffithii,sproc,sproc,0,,,,
chenii,aliena,sproc,sproc,0,,,,
chenii,fabri,sproc,sproc,0,,,,
acutissima,franchetii,sproc,sproc,0,,,,
acutissima,phillyreoides,sproc,sproc,0,,,,
